通し番号,ファイル名,カテゴリ,種別,出所URL,出所ドメイン,状況メモ,md5
1,0001.jpg,墜落・転落,教育イラスト,"https://www.sacl.or.jp/case/disaster/1274",www.sacl.or.jp,"高所作業車 墜落 災害 イラスト",07e8ab2b818f1b986439c4f6ac6e6365
2,0002.jpg,墜落・転落,教育イラスト,"https://maruyama-support.jp/maruyama/682/",maruyama-support.jp,"高所作業車 墜落 災害 イラスト",cf080ca007adf7928e02bf9bcf4e94b3
3,0003.png,墜落・転落,教育イラスト,"https://www.rodo.co.jp/series/136091/",www.rodo.co.jp,"高所作業車 墜落 災害 イラスト",10431446c1f97db66bd438fb34e00640
4,0004.jpg,墜落・転落,教育イラスト,"https://www.ac-illust.com/main/detail.php?id=865238&word=%E5%8A%B4%E7%81%BD%E9%87%8D%E6%A9%9F%E4%BA%8B%E6%95%85%E3%81%AEi%E3%82%A4%E3%83%A9%E3%82%B9%E3%83%88",www.ac-illust.com,"高所作業車 墜落 災害 イラスト",d9e8b18684bf5efc5915ae731cbc5af8
5,0005.jpg,墜落・転落,教育イラスト,"https://www.rent.co.jp/media/koushosagyousha/safety-harness-for-high-altitude-work-vehicles/",www.rent.co.jp,"高所作業車 墜落 災害 イラスト",948fa0eef4a5fdfed3dd2e21cf1b2595
6,0006.jpg,墜落・転落,教育イラスト,"https://www.ac-illust.com/main/detail.php?id=518960&word=%E5%8A%B4%E7%81%BD%E3%83%BB%E9%AB%98%E6%89%80%E4%BD%9C%E6%A5%AD%E3%81%AE%E3%82%A4%E3%83%A9%E3%82%B9%E3%83%88",www.ac-illust.com,"高所作業車 墜落 災害 イラスト",82390775c4d93963298a1dae6d82955d
7,0007.jpg,墜落・転落,教育イラスト,"https://www.ac-illust.com/main/detail.php?id=1504382",www.ac-illust.com,"高所作業車 墜落 災害 イラスト",079b127504d4104d2c4f167f9b7cb4b2
8,0008.jpg,墜落・転落,教育イラスト,"https://www.ac-illust.com/main/detail.php?id=22807404",www.ac-illust.com,"高所作業車 墜落 災害 イラスト",2289fd7647b97322b85cb247f191814a
9,0009.jpg,墜落・転落,教育イラスト,"https://www.ac-illust.com/main/detail.php?id=1126118",www.ac-illust.com,"高所作業車 墜落 災害 イラスト",26cef5422e419c2174312dd95a1316a8
10,0010.png,墜落・転落,教育イラスト,"https://illust.startoo.co/norimono/7000/",illust.startoo.co,"高所作業車 墜落 災害 イラスト",4d25e9c9c9406fea8d87869ef99f5ce2
