"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"1","1995","平成","7","1","21~22","高速道路入口の閉鎖を解除するため、街路接続部でラバーコーン等を撤去中、一般街路より進入してきた乗用車に轢かれた。","17","その他の事業","","","","","100~299","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"2","1995","平成","7","1","9~10","モーテルの管理人室において、湯を沸かしたままにしておいたため、一酸化炭素中毒になった。","14","接客娯楽業","","","","","1~9","5","物質、材料","51","危険物、有害物等","","","12","有害物等との接触"
"3","1995","平成","7","1","7~8","同僚を迎えに行く途中、スリップして反対車線にはみ出し、対向車と衝突した。","3","建設業","303","その他の建設業","","","30~49","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"4","1995","平成","7","1","9~10","トラックで走行中、カーブで運転を誤り、ガードレールに接触し橋の欄干に衝突した。","1","製造業","101","食料品製造業","","","30~49","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"5","1995","平成","7","1","0~1","事業場内小径自動脱型装置を稼働させたまま点検作業中、深さ1.6mのピットに転落した。","1","製造業","109","窯業土石製品製造業","","","50~99","1","動力機械","16","一般動力機械","","","1","墜落、転落"
"6","1995","平成","7","1","4~5","厩舎近くで朝の引運動中、暴れ出した馬に腹部を蹴られた。","14","接客娯楽業","","","","","1~9","7","環境等","71","環境等","","","6","激突され"
"7","1995","平成","7","1","7~8","同僚が軽トラックを後進させたところ、自分の車と接触したため動転してアクセルとブレーキを踏み間違え急後進したところ、後方にいた被災者が軽トラックと倉庫の壁の間に挟まれた。","17","その他の事業","","","","","10~29","2","物上げ装置、運搬機械","22","動力運搬機","","","7","はさまれ、巻き込まれ"
"8","1995","平成","7","1","10~11","ホッパー上方のベルトコンベヤーのローラー部に給油するため、休止しているベルトコンベヤーの屋根上を移動中、約5m下のホッパー内に転落した。","2","鉱業","203","その他の鉱業","","","10~29","2","物上げ装置、運搬機械","22","動力運搬機","","","1","墜落、転落"
"9","1995","平成","7","1","10~11","ブロック積み護岸工事において、オペレーターの操作ミスにより、ドラグ・ショベル下方にいた被災者が、バケットとブロック積み法面の間に挟まれた。","3","建設業","301","土木工事業","","","1~9","1","動力機械","14","建設機械等","","","6","激突され"
"10","1995","平成","7","1","10~11","ブロック積み護岸工事において、オペレーターの操作ミスにより、ドラグ・ショベル下方にいた被災者が、バケットとブロック積み法面の間に挟まれた。","3","建設業","301","土木工事業","","","1~9","1","動力機械","14","建設機械等","","","6","激突され"
